0.00000	    4.00000	    9.33333
20.20000	    0.90744	    0.37663	    2.88221	    6.72515	    0.51701
20.40000	    0.91938	    0.38154	    2.86587	    6.68704	    0.52543
20.60000	    0.93117	    0.38638	    2.84971	    6.64932	    0.53379
20.80000	    0.94279	    0.39117	    2.83372	    6.61200	    0.54207
21.00000	    0.95427	    0.39588	    2.81789	    6.57509	    0.55027
21.20000	    0.96559	    0.40054	    2.80224	    6.53857	    0.55839
21.40000	    0.97675	    0.40513	    2.78676	    6.50245	    0.56644
21.60000	    0.98776	    0.40965	    2.77145	    6.46673	    0.57441
21.80000	    0.99863	    0.41412	    2.75632	    6.43140	    0.58231
22.00000	    1.00934	    0.41852	    2.74135	    6.39647	    0.59012
22.20000	    1.01991	    0.42286	    2.72654	    6.36194	    0.59786
22.40000	    1.03032	    0.42714	    2.71191	    6.32779	    0.60552
22.60000	    1.04060	    0.43135	    2.69744	    6.29404	    0.61309
22.80000	    1.05072	    0.43551	    2.68314	    6.26067	    0.62060
23.00000	    1.06071	    0.43961	    2.66901	    6.22768	    0.62802
23.20000	    1.07055	    0.44365	    2.65503	    6.19508	    0.63536
23.40000	    1.08026	    0.44763	    2.64122	    6.16286	    0.64263
23.60000	    1.08983	    0.45156	    2.62757	    6.13101	    0.64982
23.80000	    1.09926	    0.45543	    2.61408	    6.09953	    0.65693
24.00000	    1.10855	    0.45924	    2.60075	    6.06842	    0.66397
24.20000	    1.11772	    0.46300	    2.58758	    6.03768	    0.67093
24.40000	    1.12675	    0.46670	    2.57456	    6.00730	    0.67781
24.60000	    1.13565	    0.47035	    2.56169	    5.97728	    0.68462
24.80000	    1.14442	    0.47394	    2.54898	    5.94762	    0.69135
25.00000	    1.15307	    0.47749	    2.53642	    5.91830	    0.69801
25.20000	    1.16160	    0.48098	    2.52400	    5.88934	    0.70459
25.40000	    1.17000	    0.48442	    2.51173	    5.86071	    0.71110
25.60000	    1.17828	    0.48781	    2.49961	    5.83243	    0.71754
25.80000	    1.18644	    0.49116	    2.48764	    5.80448	    0.72391
26.00000	    1.19449	    0.49445	    2.47580	    5.77687	    0.73020
26.20000	    1.20241	    0.49770	    2.46411	    5.74958	    0.73642
26.40000	    1.21023	    0.50089	    2.45255	    5.72262	    0.74257
26.60000	    1.21793	    0.50405	    2.44113	    5.69597	    0.74866
26.80000	    1.22552	    0.50715	    2.42985	    5.66965	    0.75467
27.00000	    1.23300	    0.51021	    2.41870	    5.64363	    0.76061
27.20000	    1.24038	    0.51323	    2.40768	    5.61793	    0.76649
27.40000	    1.24765	    0.51620	    2.39680	    5.59252	    0.77230
27.60000	    1.25481	    0.51913	    2.38604	    5.56742	    0.77805
27.80000	    1.26188	    0.52202	    2.37541	    5.54262	    0.78372
28.00000	    1.26884	    0.52487	    2.36490	    5.51810	    0.78934
28.20000	    1.27570	    0.52767	    2.35452	    5.49388	    0.79489
28.40000	    1.28246	    0.53044	    2.34426	    5.46994	    0.80037
28.60000	    1.28913	    0.53316	    2.33412	    5.44628	    0.80580
28.80000	    1.29570	    0.53585	    2.32410	    5.42290	    0.81116
29.00000	    1.30218	    0.53849	    2.31420	    5.39980	    0.81646
29.20000	    1.30857	    0.54110	    2.30441	    5.37696	    0.82169
29.40000	    1.31487	    0.54367	    2.29474	    5.35439	    0.82687
29.60000	    1.32108	    0.54621	    2.28518	    5.33208	    0.83199
29.80000	    1.32720	    0.54871	    2.27573	    5.31003	    0.83706
30.00000	    1.33324	    0.55117	    2.26638	    5.28823	    0.84206
30.20000	    1.33919	    0.55360	    2.25715	    5.26669	    0.84701
30.40000	    1.34506	    0.55600	    2.24803	    5.24539	    0.85190
30.60000	    1.35084	    0.55836	    2.23900	    5.22434	    0.85673
30.80000	    1.35655	    0.56068	    2.23008	    5.20353	    0.86151
