0.00000	    9.33333	    4.00000
20.20000	    0.68082	    0.37585	    6.71131	    2.87628	    0.71591
20.40000	    0.69176	    0.38073	    6.67282	    2.85978	    0.72519
20.60000	    0.70259	    0.38554	    6.63474	    2.84346	    0.73436
20.80000	    0.71332	    0.39028	    6.59705	    2.82731	    0.74340
21.00000	    0.72395	    0.39496	    6.55976	    2.81133	    0.75231
21.20000	    0.73447	    0.39958	    6.52288	    2.79552	    0.76110
21.40000	    0.74489	    0.40413	    6.48640	    2.77988	    0.76977
21.60000	    0.75521	    0.40861	    6.45031	    2.76442	    0.77831
21.80000	    0.76542	    0.41304	    6.41463	    2.74913	    0.78674
22.00000	    0.77553	    0.41740	    6.37934	    2.73400	    0.79504
22.20000	    0.78553	    0.42170	    6.34445	    2.71905	    0.80323
22.40000	    0.79543	    0.42593	    6.30995	    2.70426	    0.81130
22.60000	    0.80522	    0.43011	    6.27584	    2.68965	    0.81925
22.80000	    0.81491	    0.43422	    6.24213	    2.67520	    0.82709
23.00000	    0.82449	    0.43828	    6.20880	    2.66091	    0.83482
23.20000	    0.83397	    0.44227	    6.17586	    2.64680	    0.84243
23.40000	    0.84334	    0.44621	    6.14330	    2.63284	    0.84993
23.60000	    0.85261	    0.45009	    6.11112	    2.61905	    0.85732
23.80000	    0.86178	    0.45392	    6.07931	    2.60542	    0.86460
24.00000	    0.87085	    0.45768	    6.04788	    2.59195	    0.87178
24.20000	    0.87981	    0.46140	    6.01681	    2.57863	    0.87885
24.40000	    0.88867	    0.46505	    5.98612	    2.56548	    0.88582
24.60000	    0.89744	    0.46866	    5.95578	    2.55248	    0.89268
24.80000	    0.90610	    0.47221	    5.92581	    2.53963	    0.89944
25.00000	    0.91466	    0.47570	    5.89619	    2.52694	    0.90610
25.20000	    0.92313	    0.47915	    5.86692	    2.51439	    0.91267
25.40000	    0.93150	    0.48254	    5.83800	    2.50200	    0.91913
25.60000	    0.93977	    0.48589	    5.80942	    2.48975	    0.92550
25.80000	    0.94795	    0.48918	    5.78118	    2.47765	    0.93178
26.00000	    0.95603	    0.49243	    5.75328	    2.46569	    0.93796
26.20000	    0.96402	    0.49563	    5.72571	    2.45388	    0.94406
26.40000	    0.97191	    0.49878	    5.69847	    2.44220	    0.95006
26.60000	    0.97971	    0.50188	    5.67155	    2.43066	    0.95597
