23.60000	    4.63696	    0.04280	    3.80491	    3.71163
23.80000	    4.63766	    0.04390	    3.80174	    3.70853
24.00000	    4.63839	    0.04500	    3.79852	    3.70539
24.20000	    4.63913	    0.04610	    3.79527	    3.70222
24.40000	    4.63989	    0.04722	    3.79197	    3.69901
24.60000	    4.64067	    0.04834	    3.78864	    3.69575
24.80000	    4.64147	    0.04947	    3.78527	    3.69247
25.00000	    4.64229	    0.05060	    3.78186	    3.68914
25.20000	    4.64313	    0.05175	    3.77842	    3.68578
25.40000	    4.64398	    0.05289	    3.77494	    3.68239
25.60000	    4.64485	    0.05405	    3.77142	    3.67896
25.80000	    4.64575	    0.05520	    3.76787	    3.67550
26.00000	    4.64666	    0.05637	    3.76429	    3.67200
26.20000	    4.64759	    0.05753	    3.76068	    3.66848
26.40000	    4.64853	    0.05871	    3.75703	    3.66492
26.60000	    4.64950	    0.05988	    3.75335	    3.66133
26.80000	    4.65048	    0.06106	    3.74964	    3.65771
27.00000	    4.65149	    0.06225	    3.74589	    3.65406
27.20000	    4.65251	    0.06343	    3.74212	    3.65038
27.40000	    4.65354	    0.06463	    3.73832	    3.64667
27.60000	    4.65460	    0.06582	    3.73449	    3.64294
27.80000	    4.65567	    0.06702	    3.73063	    3.63917
28.00000	    4.65676	    0.06822	    3.72675	    3.63538
28.20000	    4.65787	    0.06942	    3.72284	    3.63157
28.40000	    4.65899	    0.07062	    3.71890	    3.62773
28.60000	    4.66013	    0.07183	    3.71494	    3.62386
28.80000	    4.66129	    0.07304	    3.71095	    3.61997
29.00000	    4.66247	    0.07425	    3.70694	    3.61606
29.20000	    4.66366	    0.07546	    3.70290	    3.61212
29.40000	    4.66486	    0.07667	    3.69884	    3.60816
29.60000	    4.66609	    0.07788	    3.69476	    3.60418
29.80000	    4.66733	    0.07910	    3.69066	    3.60018
30.00000	    4.66858	    0.08031	    3.68654	    3.59616
30.20000	    4.66985	    0.08153	    3.68240	    3.59212
30.40000	    4.67114	    0.08274	    3.67823	    3.58805
30.60000	    4.67244	    0.08396	    3.67405	    3.58397
30.80000	    4.67375	    0.08517	    3.66985	    3.57988
31.00000	    4.67508	    0.08639	    3.66563	    3.57576
31.20000	    4.67643	    0.08760	    3.66139	    3.57163
31.40000	    4.67779	    0.08882	    3.65714	    3.56748
31.60000	    4.67916	    0.09003	    3.65287	    3.56331
31.80000	    4.68055	    0.09124	    3.64859	    3.55913
32.00000	    4.68195	    0.09245	    3.64428	    3.55494
32.20000	    4.68336	    0.09366	    3.63997	    3.55073
32.40000	    4.68479	    0.09487	    3.63564	    3.54651
32.60000	    4.68623	    0.09608	    3.63130	    3.54227
32.80000	    4.68769	    0.09728	    3.62694	    3.53802
33.00000	    4.68915	    0.09849	    3.62257	    3.53376
33.20000	    4.69063	    0.09969	    3.61819	    3.52949
33.40000	    4.69212	    0.10089	    3.61380	    3.52521
33.60000	    4.69363	    0.10209	    3.60940	    3.52091
33.80000	    4.69514	    0.10329	    3.60499	    3.51661
34.00000	    4.69667	    0.10448	    3.60057	    3.51229
34.20000	    4.69821	    0.10567	    3.59613	    3.50797
34.40000	    4.69976	    0.10686	    3.59169	    3.50364
34.60000	    4.70132	    0.10805	    3.58725	    3.49930
34.80000	    4.70289	    0.10923	    3.58279	    3.49495
35.00000	    4.70447	    0.11042	    3.57832	    3.49060
35.20000	    4.70606	    0.11159	    3.57385	    3.48623
35.40000	    4.70767	    0.11277	    3.56937	    3.48186
35.60000	    4.70928	    0.11394	    3.56489	    3.47749
35.80000	    4.71090	    0.11511	    3.56040	    3.47311
36.00000	    4.71253	    0.11628	    3.55590	    3.46873
36.20000	    4.71417	    0.11744	    3.55140	    3.46434
36.40000	    4.71582	    0.11860	    3.54690	    3.45994
36.60000	    4.71748	    0.11976	    3.54239	    3.45554
36.80000	    4.71915	    0.12091	    3.53788	    3.45114
37.00000	    4.72082	    0.12206	    3.53336	    3.44674
37.20000	    4.72251	    0.12321	    3.52884	    3.44233
37.40000	    4.72420	    0.12435	    3.52432	    3.43792
37.60000	    4.72590	    0.12549	    3.51980	    3.43351
37.80000	    4.72761	    0.12662	    3.51528	    3.42909
38.00000	    4.72932	    0.12775	    3.51075	    3.42468
38.20000	    4.73104	    0.12888	    3.50622	    3.42026
38.40000	    4.73277	    0.13000	    3.50170	    3.41585
38.60000	    4.73451	    0.13112	    3.49717	    3.41143
38.80000	    4.73625	    0.13224	    3.49264	    3.40701
39.00000	    4.73800	    0.13335	    3.48811	    3.40260
39.20000	    4.73976	    0.13445	    3.48359	    3.39818
39.40000	    4.74152	    0.13556	    3.47906	    3.39377
39.60000	    4.74329	    0.13665	    3.47454	    3.38935
39.80000	    4.74506	    0.13775	    3.47001	    3.38494
40.00000	    4.74684	    0.13884	    3.46549	    3.38053
40.20000	    4.74863	    0.13992	    3.46097	    3.37612
40.40000	    4.75042	    0.14101	    3.45646	    3.37172
40.60000	    4.75221	    0.14208	    3.45194	    3.36731
40.80000	    4.75401	    0.14315	    3.44743	    3.36291
41.00000	    4.75582	    0.14422	    3.44293	    3.35852
41.20000	    4.75763	    0.14529	    3.43842	    3.35412
41.40000	    4.75944	    0.14635	    3.43392	    3.34973
41.60000	    4.76126	    0.14740	    3.42943	    3.34535
41.80000	    4.76308	    0.14845	    3.42494	    3.34097
42.00000	    4.76491	    0.14950	    3.42045	    3.33659
42.20000	    4.76674	    0.15054	    3.41597	    3.33222
42.40000	    4.76857	    0.15157	    3.41149	    3.32785
42.60000	    4.77041	    0.15260	    3.40702	    3.32349
42.80000	    4.77225	    0.15363	    3.40255	    3.31913
43.00000	    4.77410	    0.15465	    3.39809	    3.31478
43.20000	    4.77594	    0.15567	    3.39364	    3.31044
43.40000	    4.77779	    0.15668	    3.38919	    3.30610
43.60000	    4.77965	    0.15769	    3.38475	    3.30177
43.80000	    4.78150	    0.15870	    3.38031	    3.29744
44.00000	    4.78336	    0.15970	    3.37588	    3.29312
44.20000	    4.78522	    0.16069	    3.37146	    3.28881
44.40000	    4.78708	    0.16168	    3.36705	    3.28450
44.60000	    4.78894	    0.16267	    3.36264	    3.28020
44.80000	    4.79081	    0.16365	    3.35824	    3.27591
45.00000	    4.79268	    0.16462	    3.35385	    3.27162
45.20000	    4.79455	    0.16559	    3.34946	    3.26735
45.40000	    4.79642	    0.16656	    3.34509	    3.26308
45.60000	    4.79829	    0.16752	    3.34072	    3.25882
45.80000	    4.80016	    0.16848	    3.33636	    3.25456
46.00000	    4.80204	    0.16943	    3.33201	    3.25032
46.20000	    4.80391	    0.17038	    3.32766	    3.24608
46.40000	    4.80579	    0.17132	    3.32333	    3.24185
46.60000	    4.80767	    0.17226	    3.31900	    3.23763
46.80000	    4.80955	    0.17319	    3.31469	    3.23342
47.00000	    4.81143	    0.17412	    3.31038	    3.22922
47.20000	    4.81331	    0.17504	    3.30608	    3.22503
47.40000	    4.81519	    0.17596	    3.30179	    3.22084
47.60000	    4.81707	    0.17688	    3.29751	    3.21667
47.80000	    4.81895	    0.17779	    3.29324	    3.21250
48.00000	    4.82083	    0.17869	    3.28898	    3.20835
48.20000	    4.82271	    0.17959	    3.28473	    3.20420
48.40000	    4.82459	    0.18049	    3.28049	    3.20007
48.60000	    4.82647	    0.18138	    3.27626	    3.19594
48.80000	    4.82835	    0.18226	    3.27204	    3.19182
49.00000	    4.83023	    0.18315	    3.26783	    3.18772
49.20000	    4.83211	    0.18402	    3.26363	    3.18362
49.40000	    4.83398	    0.18490	    3.25944	    3.17953
49.60000	    4.83586	    0.18576	    3.25526	    3.17545
49.80000	    4.83774	    0.18663	    3.25109	    3.17139
50.00000	    4.83961	    0.18749	    3.24694	    3.16733
50.20000	    4.84149	    0.18834	    3.24279	    3.16329
50.40000	    4.84336	    0.18919	    3.23865	    3.15925
50.60000	    4.84524	    0.19004	    3.23453	    3.15523
50.80000	    4.84711	    0.19088	    3.23041	    3.15121
51.00000	    4.84898	    0.19171	    3.22631	    3.14721
51.20000	    4.85085	    0.19255	    3.22221	    3.14322
51.40000	    4.85272	    0.19337	    3.21813	    3.13924
51.60000	    4.85458	    0.19420	    3.21406	    3.13526
51.80000	    4.85645	    0.19502	    3.21000	    3.13130
52.00000	    4.85831	    0.19583	    3.20595	    3.12736
52.20000	    4.86017	    0.19664	    3.20192	    3.12342
52.40000	    4.86203	    0.19745	    3.19789	    3.11949
52.60000	    4.86389	    0.19825	    3.19388	    3.11558
52.80000	    4.86575	    0.19904	    3.18988	    3.11167
53.00000	    4.86760	    0.19984	    3.18589	    3.10778
53.20000	    4.86945	    0.20062	    3.18191	    3.10390
53.40000	    4.87130	    0.20141	    3.17794	    3.10003
53.60000	    4.87315	    0.20219	    3.17398	    3.09617
53.80000	    4.87500	    0.20296	    3.17004	    3.09232
54.00000	    4.87684	    0.20373	    3.16611	    3.08848
54.20000	    4.87868	    0.20450	    3.16218	    3.08466
54.40000	    4.88052	    0.20526	    3.15828	    3.08085
54.60000	    4.88236	    0.20602	    3.15438	    3.07704
54.80000	    4.88419	    0.20678	    3.15049	    3.07325
55.00000	    4.88602	    0.20753	    3.14662	    3.06947
55.20000	    4.88785	    0.20827	    3.14276	    3.06571
55.40000	    4.88968	    0.20901	    3.13891	    3.06195
55.60000	    4.89150	    0.20975	    3.13507	    3.05821
55.80000	    4.89332	    0.21048	    3.13124	    3.05447
56.00000	    4.89514	    0.21121	    3.12743	    3.05075
56.20000	    4.89696	    0.21194	    3.12363	    3.04704
56.40000	    4.89877	    0.21266	    3.11984	    3.04335
56.60000	    4.90058	    0.21338	    3.11606	    3.03966
56.80000	    4.90238	    0.21409	    3.11229	    3.03599
57.00000	    4.90419	    0.21480	    3.10854	    3.03233
57.20000	    4.90599	    0.21551	    3.10479	    3.02867
57.40000	    4.90779	    0.21621	    3.10106	    3.02504
57.60000	    4.90958	    0.21691	    3.09735	    3.02141
57.80000	    4.91137	    0.21760	    3.09364	    3.01779
58.00000	    4.91316	    0.21829	    3.08994	    3.01419
58.20000	    4.91495	    0.21898	    3.08626	    3.01060
58.40000	    4.91673	    0.21966	    3.08259	    3.00702
58.60000	    4.91851	    0.22034	    3.07893	    3.00345
