23.40000	    7.86172	    0.17299	    0.82240	    3.63231
23.60000	    7.85927	    0.17749	    0.82173	    3.62932
23.80000	    7.85679	    0.18202	    0.82104	    3.62629
24.00000	    7.85429	    0.18658	    0.82035	    3.62322
24.20000	    7.85176	    0.19117	    0.81964	    3.62012
24.40000	    7.84920	    0.19580	    0.81893	    3.61697
24.60000	    7.84662	    0.20045	    0.81821	    3.61380
24.80000	    7.84401	    0.20513	    0.81748	    3.61058
25.00000	    7.84137	    0.20983	    0.81675	    3.60733
25.20000	    7.83872	    0.21456	    0.81600	    3.60405
25.40000	    7.83604	    0.21932	    0.81525	    3.60073
25.60000	    7.83333	    0.22410	    0.81449	    3.59738
25.80000	    7.83061	    0.22890	    0.81373	    3.59399
26.00000	    7.82786	    0.23372	    0.81295	    3.59057
26.20000	    7.82509	    0.23856	    0.81217	    3.58712
26.40000	    7.82230	    0.24342	    0.81139	    3.58364
26.60000	    7.81949	    0.24830	    0.81059	    3.58013
26.80000	    7.81666	    0.25320	    0.80979	    3.57659
27.00000	    7.81382	    0.25811	    0.80898	    3.57302
27.20000	    7.81095	    0.26303	    0.80817	    3.56943
27.40000	    7.80806	    0.26797	    0.80735	    3.56580
27.60000	    7.80516	    0.27292	    0.80652	    3.56215
27.80000	    7.80224	    0.27789	    0.80569	    3.55847
28.00000	    7.79930	    0.28286	    0.80485	    3.55476
28.20000	    7.79635	    0.28784	    0.80400	    3.55103
28.40000	    7.79338	    0.29284	    0.80315	    3.54728
28.60000	    7.79040	    0.29784	    0.80230	    3.54350
28.80000	    7.78740	    0.30285	    0.80143	    3.53969
29.00000	    7.78438	    0.30786	    0.80057	    3.53587
29.20000	    7.78136	    0.31289	    0.79970	    3.53202
29.40000	    7.77832	    0.31791	    0.79882	    3.52815
29.60000	    7.77526	    0.32294	    0.79794	    3.52425
29.80000	    7.77220	    0.32797	    0.79705	    3.52034
30.00000	    7.76912	    0.33301	    0.79616	    3.51641
30.20000	    7.76603	    0.33805	    0.79527	    3.51246
30.40000	    7.76293	    0.34309	    0.79437	    3.50849
30.60000	    7.75982	    0.34813	    0.79346	    3.50450
30.80000	    7.75670	    0.35316	    0.79256	    3.50049
31.00000	    7.75357	    0.35820	    0.79165	    3.49647
31.20000	    7.75044	    0.36324	    0.79073	    3.49242
31.40000	    7.74729	    0.36827	    0.78981	    3.48837
31.60000	    7.74413	    0.37330	    0.78889	    3.48429
31.80000	    7.74097	    0.37833	    0.78797	    3.48021
32.00000	    7.73780	    0.38335	    0.78704	    3.47611
32.20000	    7.73462	    0.38837	    0.78610	    3.47199
32.40000	    7.73143	    0.39338	    0.78517	    3.46786
32.60000	    7.72824	    0.39839	    0.78423	    3.46372
32.80000	    7.72504	    0.40339	    0.78329	    3.45956
33.00000	    7.72184	    0.40838	    0.78235	    3.45540
33.20000	    7.71863	    0.41337	    0.78140	    3.45122
33.40000	    7.71542	    0.41835	    0.78045	    3.44703
33.60000	    7.71220	    0.42332	    0.77950	    3.44283
33.80000	    7.70898	    0.42828	    0.77855	    3.43862
34.00000	    7.70575	    0.43323	    0.77760	    3.43440
34.20000	    7.70252	    0.43817	    0.77664	    3.43018
34.40000	    7.69929	    0.44311	    0.77568	    3.42594
34.60000	    7.69605	    0.44803	    0.77472	    3.42170
34.80000	    7.69281	    0.45294	    0.77376	    3.41745
35.00000	    7.68957	    0.45784	    0.77279	    3.41319
35.20000	    7.68633	    0.46272	    0.77183	    3.40892
35.40000	    7.68309	    0.46760	    0.77086	    3.40465
35.60000	    7.67984	    0.47246	    0.76989	    3.40037
35.80000	    7.67659	    0.47731	    0.76892	    3.39609
36.00000	    7.67335	    0.48215	    0.76795	    3.39180
