23.20000	    4.45913	    0.45704	    8.84918	    0.06719
23.40000	    4.45905	    0.46831	    8.82635	    0.06701
23.60000	    4.45899	    0.47962	    8.80334	    0.06684
23.80000	    4.45895	    0.49097	    8.78016	    0.06666
24.00000	    4.45893	    0.50236	    8.75683	    0.06648
24.20000	    4.45894	    0.51379	    8.73335	    0.06631
24.40000	    4.45896	    0.52524	    8.70972	    0.06613
24.60000	    4.45901	    0.53673	    8.68596	    0.06595
24.80000	    4.45908	    0.54823	    8.66206	    0.06577
25.00000	    4.45917	    0.55976	    8.63805	    0.06558
25.20000	    4.45929	    0.57130	    8.61392	    0.06540
25.40000	    4.45942	    0.58286	    8.58968	    0.06522
25.60000	    4.45958	    0.59443	    8.56533	    0.06503
25.80000	    4.45976	    0.60600	    8.54089	    0.06485
26.00000	    4.45996	    0.61757	    8.51636	    0.06466
26.20000	    4.46019	    0.62915	    8.49174	    0.06447
26.40000	    4.46043	    0.64072	    8.46705	    0.06428
26.60000	    4.46070	    0.65229	    8.44228	    0.06410
26.80000	    4.46099	    0.66385	    8.41745	    0.06391
27.00000	    4.46131	    0.67539	    8.39256	    0.06372
27.20000	    4.46164	    0.68693	    8.36762	    0.06353
27.40000	    4.46200	    0.69845	    8.34262	    0.06334
27.60000	    4.46238	    0.70994	    8.31758	    0.06315
27.80000	    4.46278	    0.72142	    8.29251	    0.06296
28.00000	    4.46321	    0.73287	    8.26740	    0.06277
28.20000	    4.46365	    0.74430	    8.24226	    0.06258
28.40000	    4.46412	    0.75570	    8.21710	    0.06239
28.60000	    4.46461	    0.76707	    8.19192	    0.06220
28.80000	    4.46512	    0.77841	    8.16673	    0.06200
29.00000	    4.46565	    0.78971	    8.14153	    0.06181
29.20000	    4.46620	    0.80098	    8.11633	    0.06162
29.40000	    4.46677	    0.81221	    8.09113	    0.06143
29.60000	    4.46736	    0.82340	    8.06594	    0.06124
29.80000	    4.46797	    0.83455	    8.04075	    0.06105
30.00000	    4.46860	    0.84565	    8.01558	    0.06086
30.20000	    4.46925	    0.85671	    7.99042	    0.06067
30.40000	    4.46992	    0.86773	    7.96529	    0.06048
30.60000	    4.47061	    0.87870	    7.94018	    0.06028
30.80000	    4.47132	    0.88962	    7.91510	    0.06009
31.00000	    4.47205	    0.90049	    7.89005	    0.05990
31.20000	    4.47279	    0.91131	    7.86504	    0.05971
31.40000	    4.47356	    0.92207	    7.84006	    0.05952
31.60000	    4.47434	    0.93278	    7.81513	    0.05934
31.80000	    4.47514	    0.94344	    7.79025	    0.05915
32.00000	    4.47596	    0.95405	    7.76541	    0.05896
32.20000	    4.47679	    0.96459	    7.74063	    0.05877
32.40000	    4.47764	    0.97508	    7.71590	    0.05858
32.60000	    4.47851	    0.98551	    7.69123	    0.05839
32.80000	    4.47939	    0.99588	    7.66661	    0.05821
33.00000	    4.48029	    1.00619	    7.64206	    0.05802
33.20000	    4.48121	    1.01645	    7.61758	    0.05784
33.40000	    4.48214	    1.02664	    7.59316	    0.05765
33.60000	    4.48309	    1.03677	    7.56882	    0.05747
33.80000	    4.48405	    1.04683	    7.54454	    0.05728
34.00000	    4.48502	    1.05683	    7.52034	    0.05710
34.20000	    4.48601	    1.06677	    7.49622	    0.05691
34.40000	    4.48702	    1.07665	    7.47217	    0.05673
34.60000	    4.48804	    1.08646	    7.44821	    0.05655
34.80000	    4.48907	    1.09621	    7.42432	    0.05637
35.00000	    4.49011	    1.10589	    7.40052	    0.05619
35.20000	    4.49117	    1.11551	    7.37681	    0.05601
35.40000	    4.49224	    1.12506	    7.35318	    0.05583
35.60000	    4.49332	    1.13455	    7.32964	    0.05565
35.80000	    4.49442	    1.14397	    7.30620	    0.05547
36.00000	    4.49552	    1.15332	    7.28284	    0.05529
36.20000	    4.49664	    1.16261	    7.25958	    0.05512
36.40000	    4.49777	    1.17183	    7.23641	    0.05494
36.60000	    4.49891	    1.18098	    7.21333	    0.05477
36.80000	    4.50007	    1.19007	    7.19035	    0.05459
37.00000	    4.50123	    1.19909	    7.16747	    0.05442
37.20000	    4.50240	    1.20805	    7.14469	    0.05425
37.40000	    4.50358	    1.21693	    7.12201	    0.05407
37.60000	    4.50477	    1.22575	    7.09943	    0.05390
37.80000	    4.50598	    1.23451	    7.07695	    0.05373
38.00000	    4.50719	    1.24320	    7.05457	    0.05356
38.20000	    4.50841	    1.25182	    7.03230	    0.05339
38.40000	    4.50963	    1.26037	    7.01013	    0.05322
38.60000	    4.51087	    1.26886	    6.98806	    0.05306
38.80000	    4.51212	    1.27728	    6.96610	    0.05289
39.00000	    4.51337	    1.28564	    6.94425	    0.05272
39.20000	    4.51463	    1.29393	    6.92250	    0.05256
39.40000	    4.51590	    1.30215	    6.90086	    0.05239
39.60000	    4.51718	    1.31031	    6.87932	    0.05223
39.80000	    4.51846	    1.31840	    6.85790	    0.05207
40.00000	    4.51975	    1.32643	    6.83658	    0.05191
40.20000	    4.52104	    1.33439	    6.81537	    0.05174
40.40000	    4.52235	    1.34229	    6.79426	    0.05158
40.60000	    4.52366	    1.35013	    6.77327	    0.05143
40.80000	    4.52497	    1.35790	    6.75239	    0.05127
41.00000	    4.52629	    1.36560	    6.73161	    0.05111
41.20000	    4.52762	    1.37325	    6.71094	    0.05095
