23.20000	    4.49183	    0.55293	    4.63189	    4.28448
23.40000	    4.49213	    0.56656	    4.61994	    4.27342
23.60000	    4.49243	    0.58024	    4.60790	    4.26228
23.80000	    4.49274	    0.59398	    4.59577	    4.25106
24.00000	    4.49304	    0.60776	    4.58355	    4.23976
24.20000	    4.49335	    0.62158	    4.57126	    4.22839
24.40000	    4.49366	    0.63544	    4.55890	    4.21695
24.60000	    4.49398	    0.64933	    4.54646	    4.20545
24.80000	    4.49429	    0.66326	    4.53395	    4.19388
25.00000	    4.49461	    0.67720	    4.52138	    4.18225
25.20000	    4.49493	    0.69117	    4.50875	    4.17057
25.40000	    4.49526	    0.70515	    4.49606	    4.15883
25.60000	    4.49558	    0.71914	    4.48332	    4.14705
25.80000	    4.49591	    0.73314	    4.47053	    4.13521
26.00000	    4.49624	    0.74714	    4.45769	    4.12334
26.20000	    4.49658	    0.76115	    4.44480	    4.11142
26.40000	    4.49691	    0.77515	    4.43188	    4.09946
26.60000	    4.49725	    0.78914	    4.41891	    4.08747
26.80000	    4.49758	    0.80312	    4.40592	    4.07545
27.00000	    4.49792	    0.81709	    4.39289	    4.06340
27.20000	    4.49826	    0.83105	    4.37983	    4.05132
27.40000	    4.49861	    0.84498	    4.36675	    4.03922
27.60000	    4.49895	    0.85889	    4.35364	    4.02710
27.80000	    4.49930	    0.87278	    4.34052	    4.01495
28.00000	    4.49964	    0.88663	    4.32737	    4.00280
28.20000	    4.49999	    0.90046	    4.31422	    3.99063
28.40000	    4.50034	    0.91425	    4.30105	    3.97845
28.60000	    4.50069	    0.92801	    4.28787	    3.96626
28.80000	    4.50104	    0.94172	    4.27468	    3.95406
29.00000	    4.50139	    0.95540	    4.26149	    3.94186
29.20000	    4.50175	    0.96903	    4.24830	    3.92966
29.40000	    4.50210	    0.98261	    4.23511	    3.91746
29.60000	    4.50246	    0.99615	    4.22192	    3.90526
29.80000	    4.50281	    1.00964	    4.20874	    3.89306
30.00000	    4.50317	    1.02307	    4.19556	    3.88087
30.20000	    4.50352	    1.03646	    4.18240	    3.86869
30.40000	    4.50388	    1.04978	    4.16924	    3.85653
30.60000	    4.50424	    1.06305	    4.15610	    3.84437
30.80000	    4.50460	    1.07626	    4.14297	    3.83223
31.00000	    4.50495	    1.08941	    4.12986	    3.82010
31.20000	    4.50531	    1.10250	    4.11677	    3.80799
31.40000	    4.50567	    1.11552	    4.10370	    3.79590
31.60000	    4.50603	    1.12849	    4.09065	    3.78383
31.80000	    4.50639	    1.14138	    4.07762	    3.77178
32.00000	    4.50675	    1.15421	    4.06462	    3.75975
32.20000	    4.50711	    1.16697	    4.05165	    3.74775
32.40000	    4.50746	    1.17966	    4.03871	    3.73578
32.60000	    4.50782	    1.19227	    4.02579	    3.72384
32.80000	    4.50818	    1.20482	    4.01291	    3.71192
33.00000	    4.50854	    1.21730	    4.00006	    3.70003
33.20000	    4.50890	    1.22970	    3.98724	    3.68818
33.40000	    4.50926	    1.24203	    3.97446	    3.67636
33.60000	    4.50961	    1.25428	    3.96172	    3.66457
33.80000	    4.50997	    1.26646	    3.94901	    3.65282
34.00000	    4.51033	    1.27856	    3.93635	    3.64110
34.20000	    4.51068	    1.29059	    3.92372	    3.62942
34.40000	    4.51104	    1.30254	    3.91113	    3.61778
34.60000	    4.51139	    1.31441	    3.89859	    3.60617
34.80000	    4.51175	    1.32620	    3.88609	    3.59461
35.00000	    4.51210	    1.33791	    3.87363	    3.58309
35.20000	    4.51246	    1.34955	    3.86122	    3.57161
35.40000	    4.51281	    1.36110	    3.84885	    3.56017
35.60000	    4.51316	    1.37258	    3.83653	    3.54877
35.80000	    4.51351	    1.38398	    3.82426	    3.53742
36.00000	    4.51386	    1.39529	    3.81203	    3.52611
36.20000	    4.51421	    1.40653	    3.79986	    3.51485
36.40000	    4.51456	    1.41768	    3.78773	    3.50363
36.60000	    4.51491	    1.42876	    3.77565	    3.49246
36.80000	    4.51526	    1.43975	    3.76362	    3.48133
37.00000	    4.51561	    1.45066	    3.75165	    3.47025
37.20000	    4.51595	    1.46150	    3.73972	    3.45922
37.40000	    4.51630	    1.47225	    3.72785	    3.44824
37.60000	    4.51664	    1.48292	    3.71603	    3.43731
37.80000	    4.51698	    1.49351	    3.70427	    3.42643
38.00000	    4.51733	    1.50402	    3.69255	    3.41559
38.20000	    4.51767	    1.51445	    3.68089	    3.40481
38.40000	    4.51801	    1.52480	    3.66929	    3.39407
38.60000	    4.51835	    1.53507	    3.65774	    3.38339
38.80000	    4.51868	    1.54526	    3.64625	    3.37276
39.00000	    4.51902	    1.55537	    3.63481	    3.36218
39.20000	    4.51936	    1.56539	    3.62342	    3.35165
39.40000	    4.51969	    1.57534	    3.61209	    3.34117
39.60000	    4.52002	    1.58521	    3.60082	    3.33074
39.80000	    4.52036	    1.59501	    3.58961	    3.32037
40.00000	    4.52069	    1.60472	    3.57845	    3.31004
40.20000	    4.52102	    1.61435	    3.56734	    3.29977
40.40000	    4.52135	    1.62391	    3.55630	    3.28956
40.60000	    4.52168	    1.63339	    3.54531	    3.27939
40.80000	    4.52200	    1.64279	    3.53438	    3.26928
41.00000	    4.52233	    1.65211	    3.52351	    3.25922
41.20000	    4.52265	    1.66136	    3.51269	    3.24922
41.40000	    4.52297	    1.67053	    3.50193	    3.23926
41.60000	    4.52330	    1.67962	    3.49123	    3.22937
41.80000	    4.52362	    1.68864	    3.48058	    3.21952
42.00000	    4.52394	    1.69758	    3.47000	    3.20973
42.20000	    4.52425	    1.70645	    3.45947	    3.19999
42.40000	    4.52457	    1.71525	    3.44899	    3.19030
42.60000	    4.52489	    1.72397	    3.43858	    3.18067
42.80000	    4.52520	    1.73261	    3.42822	    3.17109
43.00000	    4.52551	    1.74119	    3.41792	    3.16156
43.20000	    4.52582	    1.74969	    3.40768	    3.15209
43.40000	    4.52613	    1.75812	    3.39749	    3.14266
43.60000	    4.52644	    1.76647	    3.38737	    3.13330
43.80000	    4.52675	    1.77476	    3.37730	    3.12398
44.00000	    4.52706	    1.78297	    3.36728	    3.11472
44.20000	    4.52736	    1.79111	    3.35733	    3.10551
44.40000	    4.52766	    1.79919	    3.34743	    3.09635
44.60000	    4.52797	    1.80719	    3.33758	    3.08725
44.80000	    4.52827	    1.81513	    3.32780	    3.07819
45.00000	    4.52857	    1.82300	    3.31807	    3.06919
45.20000	    4.52887	    1.83079	    3.30839	    3.06025
45.40000	    4.52916	    1.83853	    3.29878	    3.05135
45.60000	    4.52946	    1.84619	    3.28922	    3.04251
45.80000	    4.52975	    1.85379	    3.27971	    3.03371
46.00000	    4.53005	    1.86132	    3.27026	    3.02497
