23.40000	    8.95254	    0.19223	    4.01475	    0.29820
23.60000	    8.94876	    0.19714	    4.00974	    0.29782
23.80000	    8.94493	    0.20208	    4.00468	    0.29745
24.00000	    8.94108	    0.20706	    3.99959	    0.29707
24.20000	    8.93719	    0.21206	    3.99445	    0.29669
24.40000	    8.93326	    0.21710	    3.98928	    0.29630
24.60000	    8.92931	    0.22216	    3.98407	    0.29592
24.80000	    8.92532	    0.22725	    3.97882	    0.29553
25.00000	    8.92131	    0.23236	    3.97353	    0.29514
25.20000	    8.91726	    0.23750	    3.96822	    0.29474
25.40000	    8.91319	    0.24266	    3.96287	    0.29434
25.60000	    8.90909	    0.24784	    3.95749	    0.29394
25.80000	    8.90496	    0.25304	    3.95207	    0.29354
26.00000	    8.90081	    0.25826	    3.94663	    0.29314
26.20000	    8.89664	    0.26350	    3.94116	    0.29273
26.40000	    8.89244	    0.26876	    3.93567	    0.29232
26.60000	    8.88822	    0.27403	    3.93015	    0.29191
26.80000	    8.88397	    0.27931	    3.92460	    0.29150
27.00000	    8.87971	    0.28461	    3.91903	    0.29109
27.20000	    8.87542	    0.28992	    3.91344	    0.29067
27.40000	    8.87111	    0.29524	    3.90783	    0.29025
27.60000	    8.86679	    0.30057	    3.90219	    0.28984
27.80000	    8.86245	    0.30591	    3.89654	    0.28942
28.00000	    8.85809	    0.31125	    3.89087	    0.28900
28.20000	    8.85371	    0.31661	    3.88518	    0.28857
28.40000	    8.84932	    0.32197	    3.87948	    0.28815
28.60000	    8.84491	    0.32733	    3.87376	    0.28772
28.80000	    8.84049	    0.33270	    3.86802	    0.28730
29.00000	    8.83606	    0.33807	    3.86228	    0.28687
29.20000	    8.83161	    0.34345	    3.85652	    0.28644
29.40000	    8.82715	    0.34883	    3.85075	    0.28602
29.60000	    8.82268	    0.35420	    3.84496	    0.28559
29.80000	    8.81820	    0.35958	    3.83917	    0.28516
30.00000	    8.81371	    0.36496	    3.83337	    0.28472
30.20000	    8.80920	    0.37033	    3.82756	    0.28429
30.40000	    8.80469	    0.37571	    3.82174	    0.28386
30.60000	    8.80018	    0.38108	    3.81592	    0.28343
30.80000	    8.79565	    0.38644	    3.81009	    0.28300
31.00000	    8.79112	    0.39181	    3.80426	    0.28256
31.20000	    8.78658	    0.39716	    3.79842	    0.28213
31.40000	    8.78203	    0.40252	    3.79258	    0.28169
31.60000	    8.77748	    0.40786	    3.78673	    0.28126
31.80000	    8.77292	    0.41320	    3.78088	    0.28083
32.00000	    8.76836	    0.41853	    3.77503	    0.28039
32.20000	    8.76380	    0.42386	    3.76919	    0.27996
32.40000	    8.75923	    0.42917	    3.76334	    0.27952
32.60000	    8.75466	    0.43448	    3.75749	    0.27909
32.80000	    8.75009	    0.43977	    3.75164	    0.27865
33.00000	    8.74552	    0.44506	    3.74579	    0.27822
33.20000	    8.74094	    0.45034	    3.73995	    0.27779
33.40000	    8.73637	    0.45560	    3.73411	    0.27735
33.60000	    8.73179	    0.46085	    3.72827	    0.27692
33.80000	    8.72722	    0.46610	    3.72243	    0.27648
34.00000	    8.72264	    0.47132	    3.71660	    0.27605
34.20000	    8.71807	    0.47654	    3.71078	    0.27562
34.40000	    8.71350	    0.48174	    3.70496	    0.27519
34.60000	    8.70893	    0.48693	    3.69915	    0.27476
34.80000	    8.70436	    0.49211	    3.69334	    0.27432
35.00000	    8.69979	    0.49727	    3.68754	    0.27389
35.20000	    8.69523	    0.50242	    3.68175	    0.27346
35.40000	    8.69067	    0.50755	    3.67596	    0.27303
35.60000	    8.68612	    0.51266	    3.67019	    0.27260
35.80000	    8.68157	    0.51776	    3.66442	    0.27218
36.00000	    8.67702	    0.52285	    3.65866	    0.27175
36.20000	    8.67248	    0.52792	    3.65291	    0.27132
36.40000	    8.66794	    0.53297	    3.64718	    0.27089
36.60000	    8.66341	    0.53800	    3.64145	    0.27047
36.80000	    8.65888	    0.54302	    3.63573	    0.27004
37.00000	    8.65436	    0.54802	    3.63002	    0.26962
37.20000	    8.64985	    0.55301	    3.62433	    0.26920
37.40000	    8.64534	    0.55797	    3.61864	    0.26878
37.60000	    8.64084	    0.56292	    3.61297	    0.26835
37.80000	    8.63635	    0.56785	    3.60731	    0.26793
38.00000	    8.63187	    0.57276	    3.60166	    0.26751
38.20000	    8.62739	    0.57766	    3.59603	    0.26710
38.40000	    8.62292	    0.58253	    3.59040	    0.26668
38.60000	    8.61846	    0.58739	    3.58480	    0.26626
38.80000	    8.61400	    0.59222	    3.57920	    0.26585
39.00000	    8.60956	    0.59704	    3.57362	    0.26543
39.20000	    8.60512	    0.60184	    3.56805	    0.26502
39.40000	    8.60070	    0.60662	    3.56250	    0.26461
39.60000	    8.59628	    0.61138	    3.55697	    0.26419
39.80000	    8.59187	    0.61612	    3.55144	    0.26378
40.00000	    8.58747	    0.62084	    3.54593	    0.26338
40.20000	    8.58308	    0.62554	    3.54044	    0.26297
40.40000	    8.57870	    0.63022	    3.53497	    0.26256
40.60000	    8.57434	    0.63488	    3.52950	    0.26215
40.80000	    8.56998	    0.63952	    3.52406	    0.26175
41.00000	    8.56563	    0.64414	    3.51863	    0.26135
41.20000	    8.56129	    0.64874	    3.51321	    0.26094
41.40000	    8.55697	    0.65332	    3.50782	    0.26054
41.60000	    8.55265	    0.65788	    3.50244	    0.26014
41.80000	    8.54835	    0.66242	    3.49707	    0.25975
42.00000	    8.54405	    0.66694	    3.49173	    0.25935
42.20000	    8.53977	    0.67144	    3.48639	    0.25895
42.40000	    8.53550	    0.67592	    3.48108	    0.25856
42.60000	    8.53124	    0.68038	    3.47578	    0.25816
42.80000	    8.52700	    0.68481	    3.47051	    0.25777
