23.60000	    5.55767	    0.07437	    4.82607	    3.01712
23.80000	    5.55858	    0.07623	    4.81998	    3.01332
24.00000	    5.55949	    0.07811	    4.81385	    3.00949
24.20000	    5.56041	    0.08000	    4.80767	    3.00562
24.40000	    5.56132	    0.08190	    4.80144	    3.00173
24.60000	    5.56224	    0.08381	    4.79517	    2.99781
24.80000	    5.56317	    0.08573	    4.78885	    2.99386
25.00000	    5.56409	    0.08765	    4.78249	    2.98988
25.20000	    5.56502	    0.08959	    4.77610	    2.98588
25.40000	    5.56595	    0.09154	    4.76966	    2.98186
25.60000	    5.56688	    0.09349	    4.76318	    2.97781
25.80000	    5.56781	    0.09546	    4.75667	    2.97374
26.00000	    5.56874	    0.09743	    4.75012	    2.96964
26.20000	    5.56967	    0.09940	    4.74354	    2.96553
26.40000	    5.57060	    0.10138	    4.73692	    2.96139
26.60000	    5.57154	    0.10337	    4.73028	    2.95724
26.80000	    5.57247	    0.10536	    4.72360	    2.95307
27.00000	    5.57341	    0.10736	    4.71690	    2.94887
27.20000	    5.57434	    0.10937	    4.71017	    2.94467
27.40000	    5.57527	    0.11137	    4.70341	    2.94044
27.60000	    5.57620	    0.11338	    4.69663	    2.93620
27.80000	    5.57714	    0.11540	    4.68983	    2.93195
28.00000	    5.57807	    0.11741	    4.68300	    2.92768
28.20000	    5.57900	    0.11943	    4.67616	    2.92340
28.40000	    5.57992	    0.12146	    4.66929	    2.91911
28.60000	    5.58085	    0.12348	    4.66241	    2.91481
28.80000	    5.58177	    0.12550	    4.65550	    2.91049
29.00000	    5.58270	    0.12753	    4.64859	    2.90617
29.20000	    5.58362	    0.12956	    4.64165	    2.90183
29.40000	    5.58454	    0.13159	    4.63471	    2.89749
29.60000	    5.58545	    0.13362	    4.62775	    2.89314
29.80000	    5.58637	    0.13564	    4.62078	    2.88878
30.00000	    5.58728	    0.13767	    4.61379	    2.88442
30.20000	    5.58819	    0.13970	    4.60680	    2.88005
30.40000	    5.58909	    0.14173	    4.59980	    2.87567
30.60000	    5.59000	    0.14375	    4.59279	    2.87129
30.80000	    5.59090	    0.14578	    4.58578	    2.86690
31.00000	    5.59179	    0.14780	    4.57875	    2.86251
31.20000	    5.59269	    0.14982	    4.57173	    2.85812
31.40000	    5.59358	    0.15184	    4.56469	    2.85372
31.60000	    5.59447	    0.15386	    4.55766	    2.84932
31.80000	    5.59535	    0.15587	    4.55062	    2.84492
32.00000	    5.59623	    0.15788	    4.54358	    2.84052
32.20000	    5.59711	    0.15989	    4.53654	    2.83612
32.40000	    5.59798	    0.16190	    4.52950	    2.83172
32.60000	    5.59885	    0.16390	    4.52246	    2.82732
32.80000	    5.59971	    0.16590	    4.51542	    2.82292
33.00000	    5.60057	    0.16789	    4.50839	    2.81852
33.20000	    5.60143	    0.16988	    4.50135	    2.81412
33.40000	    5.60228	    0.17187	    4.49432	    2.80973
33.60000	    5.60313	    0.17385	    4.48729	    2.80533
33.80000	    5.60397	    0.17583	    4.48027	    2.80094
34.00000	    5.60481	    0.17780	    4.47326	    2.79656
34.20000	    5.60565	    0.17977	    4.46625	    2.79217
34.40000	    5.60648	    0.18173	    4.45924	    2.78780
34.60000	    5.60731	    0.18369	    4.45225	    2.78342
34.80000	    5.60813	    0.18564	    4.44526	    2.77905
35.00000	    5.60895	    0.18758	    4.43828	    2.77469
35.20000	    5.60976	    0.18953	    4.43130	    2.77033
35.40000	    5.61057	    0.19146	    4.42434	    2.76598
35.60000	    5.61137	    0.19339	    4.41739	    2.76163
35.80000	    5.61217	    0.19532	    4.41045	    2.75729
36.00000	    5.61297	    0.19723	    4.40352	    2.75296
36.20000	    5.61376	    0.19915	    4.39660	    2.74863
36.40000	    5.61454	    0.20105	    4.38969	    2.74431
36.60000	    5.61532	    0.20295	    4.38280	    2.74000
36.80000	    5.61610	    0.20484	    4.37591	    2.73570
37.00000	    5.61687	    0.20673	    4.36905	    2.73141
37.20000	    5.61763	    0.20861	    4.36219	    2.72712
37.40000	    5.61839	    0.21048	    4.35535	    2.72284
37.60000	    5.61915	    0.21235	    4.34852	    2.71858
37.80000	    5.61990	    0.21421	    4.34171	    2.71432
38.00000	    5.62065	    0.21606	    4.33491	    2.71007
38.20000	    5.62139	    0.21791	    4.32813	    2.70583
38.40000	    5.62213	    0.21975	    4.32136	    2.70160
38.60000	    5.62286	    0.22158	    4.31461	    2.69738
38.80000	    5.62359	    0.22340	    4.30788	    2.69317
39.00000	    5.62431	    0.22522	    4.30116	    2.68897
39.20000	    5.62503	    0.22703	    4.29446	    2.68478
39.40000	    5.62574	    0.22884	    4.28778	    2.68060
39.60000	    5.62645	    0.23063	    4.28112	    2.67644
39.80000	    5.62715	    0.23242	    4.27447	    2.67228
40.00000	    5.62785	    0.23420	    4.26784	    2.66814
40.20000	    5.62854	    0.23597	    4.26123	    2.66400
40.40000	    5.62923	    0.23774	    4.25464	    2.65988
40.60000	    5.62991	    0.23950	    4.24806	    2.65577
40.80000	    5.63059	    0.24125	    4.24151	    2.65168
41.00000	    5.63126	    0.24299	    4.23497	    2.64759
41.20000	    5.63193	    0.24473	    4.22846	    2.64352
41.40000	    5.63259	    0.24645	    4.22196	    2.63945
41.60000	    5.63325	    0.24817	    4.21549	    2.63541
41.80000	    5.63391	    0.24989	    4.20903	    2.63137
42.00000	    5.63456	    0.25159	    4.20259	    2.62735
42.20000	    5.63520	    0.25329	    4.19618	    2.62334
42.40000	    5.63584	    0.25498	    4.18978	    2.61934
42.60000	    5.63648	    0.25666	    4.18341	    2.61535
42.80000	    5.63711	    0.25833	    4.17705	    2.61138
43.00000	    5.63773	    0.26000	    4.17072	    2.60742
43.20000	    5.63835	    0.26165	    4.16441	    2.60347
43.40000	    5.63897	    0.26331	    4.15812	    2.59954
43.60000	    5.63958	    0.26495	    4.15185	    2.59562
43.80000	    5.64019	    0.26658	    4.14560	    2.59171
44.00000	    5.64079	    0.26821	    4.13937	    2.58782
44.20000	    5.64139	    0.26983	    4.13317	    2.58394
44.40000	    5.64198	    0.27144	    4.12698	    2.58008
44.60000	    5.64257	    0.27304	    4.12082	    2.57622
44.80000	    5.64315	    0.27464	    4.11468	    2.57239
45.00000	    5.64373	    0.27623	    4.10856	    2.56856
45.20000	    5.64431	    0.27781	    4.10247	    2.56475
45.40000	    5.64488	    0.27938	    4.09639	    2.56095
45.60000	    5.64544	    0.28094	    4.09034	    2.55717
45.80000	    5.64601	    0.28250	    4.08431	    2.55340
46.00000	    5.64656	    0.28405	    4.07830	    2.54964
46.20000	    5.64712	    0.28559	    4.07232	    2.54590
46.40000	    5.64766	    0.28712	    4.06635	    2.54217
46.60000	    5.64821	    0.28865	    4.06041	    2.53846
46.80000	    5.64875	    0.29017	    4.05449	    2.53476
47.00000	    5.64928	    0.29168	    4.04860	    2.53107
47.20000	    5.64982	    0.29318	    4.04272	    2.52740
47.40000	    5.65034	    0.29468	    4.03687	    2.52374
47.60000	    5.65087	    0.29616	    4.03104	    2.52010
47.80000	    5.65139	    0.29764	    4.02523	    2.51647
48.00000	    5.65190	    0.29912	    4.01945	    2.51285
48.20000	    5.65241	    0.30058	    4.01369	    2.50925
48.40000	    5.65292	    0.30204	    4.00795	    2.50566
48.60000	    5.65342	    0.30349	    4.00223	    2.50208
48.80000	    5.65392	    0.30493	    3.99654	    2.49852
49.00000	    5.65441	    0.30636	    3.99086	    2.49498
49.20000	    5.65490	    0.30779	    3.98521	    2.49145
49.40000	    5.65539	    0.30921	    3.97959	    2.48793
49.60000	    5.65587	    0.31062	    3.97398	    2.48443
49.80000	    5.65635	    0.31203	    3.96840	    2.48094
50.00000	    5.65683	    0.31343	    3.96284	    2.47746
50.20000	    5.65730	    0.31482	    3.95730	    2.47400
50.40000	    5.65776	    0.31620	    3.95179	    2.47055
50.60000	    5.65823	    0.31758	    3.94630	    2.46712
50.80000	    5.65869	    0.31895	    3.94082	    2.46370
51.00000	    5.65914	    0.32031	    3.93538	    2.46029
51.20000	    5.65959	    0.32166	    3.92995	    2.45690
51.40000	    5.66004	    0.32301	    3.92455	    2.45352
51.60000	    5.66049	    0.32435	    3.91916	    2.45015
51.80000	    5.66093	    0.32568	    3.91381	    2.44680
52.00000	    5.66136	    0.32701	    3.90847	    2.44347
52.20000	    5.66180	    0.32833	    3.90315	    2.44014
52.40000	    5.66223	    0.32964	    3.89786	    2.43683
52.60000	    5.66266	    0.33095	    3.89259	    2.43354
52.80000	    5.66308	    0.33224	    3.88734	    2.43026
53.00000	    5.66350	    0.33354	    3.88211	    2.42699
53.20000	    5.66391	    0.33482	    3.87690	    2.42373
53.40000	    5.66433	    0.33610	    3.87172	    2.42049
53.60000	    5.66474	    0.33737	    3.86656	    2.41726
53.80000	    5.66514	    0.33863	    3.86142	    2.41405
54.00000	    5.66555	    0.33989	    3.85630	    2.41085
54.20000	    5.66594	    0.34114	    3.85120	    2.40766
54.40000	    5.66634	    0.34239	    3.84612	    2.40449
54.60000	    5.66673	    0.34362	    3.84107	    2.40133
54.80000	    5.66712	    0.34485	    3.83603	    2.39818
55.00000	    5.66751	    0.34608	    3.83102	    2.39505
55.20000	    5.66789	    0.34730	    3.82603	    2.39193
55.40000	    5.66827	    0.34851	    3.82106	    2.38882
55.60000	    5.66865	    0.34971	    3.81611	    2.38573
55.80000	    5.66902	    0.35091	    3.81118	    2.38265
