0.00000	    8.33333	    2.66667	    2.33333
19.60000	    4.58949	    0.72133	    0.36766	    2.19413	    1.91987
19.80000	    4.57175	    0.73284	    0.37480	    2.18545	    1.91226
20.00000	    4.55412	    0.74424	    0.38190	    2.17681	    1.90471
20.20000	    4.53659	    0.75554	    0.38897	    2.16823	    1.89720
20.40000	    4.51917	    0.76673	    0.39600	    2.15970	    1.88974
20.60000	    4.50186	    0.77781	    0.40299	    2.15122	    1.88232
20.80000	    4.48468	    0.78878	    0.40994	    2.14281	    1.87496
21.00000	    4.46761	    0.79965	    0.41685	    2.13445	    1.86764
21.20000	    4.45065	    0.81040	    0.42371	    2.12615	    1.86038
21.40000	    4.43383	    0.82105	    0.43053	    2.11790	    1.85317
21.60000	    4.41712	    0.83158	    0.43730	    2.10972	    1.84601
21.80000	    4.40054	    0.84201	    0.44403	    2.10160	    1.83890
22.00000	    4.38409	    0.85232	    0.45071	    2.09355	    1.83185
22.20000	    4.36776	    0.86253	    0.45735	    2.08555	    1.82486
22.40000	    4.35157	    0.87262	    0.46393	    2.07762	    1.81792
22.60000	    4.33550	    0.88261	    0.47047	    2.06975	    1.81103
22.80000	    4.31956	    0.89249	    0.47696	    2.06194	    1.80420
23.00000	    4.30376	    0.90226	    0.48340	    2.05420	    1.79743
23.20000	    4.28808	    0.91192	    0.48979	    2.04653	    1.79071
23.40000	    4.27254	    0.92148	    0.49613	    2.03891	    1.78405
23.60000	    4.25713	    0.93093	    0.50242	    2.03137	    1.77744
23.80000	    4.24185	    0.94027	    0.50866	    2.02388	    1.77090
24.00000	    4.22671	    0.94951	    0.51485	    2.01646	    1.76441
24.20000	    4.21170	    0.95864	    0.52098	    2.00911	    1.75797
24.40000	    4.19682	    0.96767	    0.52707	    2.00182	    1.75159
24.60000	    4.18207	    0.97660	    0.53311	    1.99460	    1.74527
24.80000	    4.16745	    0.98543	    0.53909	    1.98744	    1.73901
25.00000	    4.15297	    0.99415	    0.54503	    1.98034	    1.73280
25.20000	    4.13862	    1.00277	    0.55091	    1.97331	    1.72665
25.40000	    4.12439	    1.01130	    0.55674	    1.96635	    1.72055
25.60000	    4.11030	    1.01973	    0.56253	    1.95944	    1.71451
25.80000	    4.09634	    1.02805	    0.56826	    1.95261	    1.70853
26.00000	    4.08251	    1.03629	    0.57394	    1.94583	    1.70260
26.20000	    4.06880	    1.04442	    0.57957	    1.93912	    1.69673
26.40000	    4.05523	    1.05247	    0.58515	    1.93247	    1.69091
26.60000	    4.04178	    1.06042	    0.59068	    1.92588	    1.68514
26.80000	    4.02845	    1.06827	    0.59616	    1.91935	    1.67943
27.00000	    4.01526	    1.07604	    0.60160	    1.91288	    1.67377
27.20000	    4.00218	    1.08371	    0.60698	    1.90648	    1.66817
27.40000	    3.98923	    1.09130	    0.61231	    1.90014	    1.66262
27.60000	    3.97641	    1.09879	    0.61760	    1.89385	    1.65712
27.80000	    3.96370	    1.10620	    0.62284	    1.88763	    1.65168
28.00000	    3.95112	    1.11353	    0.62803	    1.88147	    1.64628
28.20000	    3.93866	    1.12076	    0.63317	    1.87536	    1.64094
28.40000	    3.92631	    1.12792	    0.63826	    1.86931	    1.63565
28.60000	    3.91409	    1.13499	    0.64331	    1.86332	    1.63041
28.80000	    3.90198	    1.14198	    0.64831	    1.85739	    1.62522
29.00000	    3.88999	    1.14888	    0.65327	    1.85152	    1.62008
29.20000	    3.87811	    1.15571	    0.65818	    1.84570	    1.61499
29.40000	    3.86635	    1.16246	    0.66304	    1.83993	    1.60994
29.60000	    3.85470	    1.16913	    0.66786	    1.83423	    1.60495
29.80000	    3.84316	    1.17572	    0.67263	    1.82857	    1.60000
30.00000	    3.83173	    1.18223	    0.67736	    1.82298	    1.59510
30.20000	    3.82042	    1.18867	    0.68205	    1.81743	    1.59025
30.40000	    3.80921	    1.19504	    0.68669	    1.81194	    1.58545
30.60000	    3.79811	    1.20133	    0.69129	    1.80650	    1.58069
30.80000	    3.78712	    1.20755	    0.69584	    1.80112	    1.57598
31.00000	    3.77623	    1.21370	    0.70036	    1.79578	    1.57131
31.20000	    3.76544	    1.21978	    0.70483	    1.79050	    1.56668
31.40000	    3.75476	    1.22579	    0.70926	    1.78526	    1.56211
31.60000	    3.74419	    1.23173	    0.71365	    1.78008	    1.55757
31.80000	    3.73371	    1.23761	    0.71799	    1.77495	    1.55308
32.00000	    3.72333	    1.24341	    0.72230	    1.76986	    1.54863
32.20000	    3.71306	    1.24915	    0.72657	    1.76483	    1.54423
32.40000	    3.70288	    1.25483	    0.73079	    1.75984	    1.53986
32.60000	    3.69280	    1.26044	    0.73498	    1.75490	    1.53554
32.80000	    3.68281	    1.26599	    0.73913	    1.75001	    1.53126
33.00000	    3.67292	    1.27148	    0.74324	    1.74516	    1.52702
33.20000	    3.66312	    1.27690	    0.74732	    1.74036	    1.52282
33.40000	    3.65342	    1.28227	    0.75135	    1.73561	    1.51866
33.60000	    3.64381	    1.28757	    0.75535	    1.73090	    1.51454
33.80000	    3.63429	    1.29282	    0.75931	    1.72624	    1.51046
34.00000	    3.62486	    1.29800	    0.76324	    1.72161	    1.50641
34.20000	    3.61552	    1.30313	    0.76712	    1.71704	    1.50241
34.40000	    3.60626	    1.30821	    0.77098	    1.71250	    1.49844
34.60000	    3.59710	    1.31322	    0.77479	    1.70801	    1.49451
34.80000	    3.58801	    1.31819	    0.77858	    1.70356	    1.49062
35.00000	    3.57902	    1.32309	    0.78233	    1.69915	    1.48676
35.20000	    3.57011	    1.32795	    0.78604	    1.69479	    1.48294
35.40000	    3.56128	    1.33275	    0.78972	    1.69046	    1.47915
35.60000	    3.55253	    1.33750	    0.79337	    1.68617	    1.47540
35.80000	    3.54386	    1.34220	    0.79698	    1.68193	    1.47169
36.00000	    3.53528	    1.34684	    0.80056	    1.67772	    1.46801
36.20000	    3.52677	    1.35144	    0.80411	    1.67355	    1.46436
36.40000	    3.51835	    1.35599	    0.80762	    1.66942	    1.46075
36.60000	    3.51000	    1.36049	    0.81111	    1.66533	    1.45717
36.80000	    3.50172	    1.36494	    0.81456	    1.66128	    1.45362
37.00000	    3.49353	    1.36934	    0.81799	    1.65726	    1.45010
37.20000	    3.48540	    1.37370	    0.82138	    1.65328	    1.44662
37.40000	    3.47735	    1.37801	    0.82474	    1.64934	    1.44317
37.60000	    3.46938	    1.38228	    0.82807	    1.64543	    1.43975
37.80000	    3.46148	    1.38650	    0.83137	    1.64156	    1.43636
38.00000	    3.45364	    1.39067	    0.83464	    1.63772	    1.43300
38.20000	    3.44588	    1.39481	    0.83789	    1.63391	    1.42968
38.40000	    3.43819	    1.39890	    0.84110	    1.63015	    1.42638
38.60000	    3.43057	    1.40294	    0.84429	    1.62641	    1.42311
38.80000	    3.42302	    1.40695	    0.84745	    1.62271	    1.41987
39.00000	    3.41553	    1.41091	    0.85058	    1.61904	    1.41666
39.20000	    3.40811	    1.41484	    0.85368	    1.61541	    1.41348
39.40000	    3.40076	    1.41872	    0.85676	    1.61180	    1.41033
39.60000	    3.39347	    1.42256	    0.85981	    1.60823	    1.40720
39.80000	    3.38625	    1.42637	    0.86283	    1.60469	    1.40410
40.00000	    3.37909	    1.43013	    0.86583	    1.60118	    1.40103
40.20000	    3.37199	    1.43386	    0.86880	    1.59770	    1.39799
40.40000	    3.36495	    1.43755	    0.87175	    1.59426	    1.39497
40.60000	    3.35798	    1.44120	    0.87467	    1.59084	    1.39198
40.80000	    3.35107	    1.44482	    0.87756	    1.58745	    1.38902
41.00000	    3.34421	    1.44840	    0.88043	    1.58409	    1.38608
41.20000	    3.33742	    1.45194	    0.88328	    1.58076	    1.38317
41.40000	    3.33069	    1.45545	    0.88610	    1.57746	    1.38028
41.60000	    3.32401	    1.45893	    0.88890	    1.57419	    1.37742
41.80000	    3.31739	    1.46237	    0.89167	    1.57095	    1.37458
42.00000	    3.31083	    1.46577	    0.89442	    1.56773	    1.37177
42.20000	    3.30432	    1.46915	    0.89715	    1.56454	    1.36898
42.40000	    3.29787	    1.47249	    0.89985	    1.56138	    1.36621
42.60000	    3.29148	    1.47579	    0.90254	    1.55825	    1.36347
42.80000	    3.28514	    1.47907	    0.90520	    1.55514	    1.36075
43.00000	    3.27885	    1.48231	    0.90783	    1.55206	    1.35805
43.20000	    3.27261	    1.48553	    0.91045	    1.54900	    1.35538
43.40000	    3.26643	    1.48871	    0.91304	    1.54597	    1.35273
43.60000	    3.26030	    1.49186	    0.91562	    1.54297	    1.35010
43.80000	    3.25422	    1.49498	    0.91817	    1.53999	    1.34749
44.00000	    3.24819	    1.49807	    0.92070	    1.53704	    1.34491
44.20000	    3.24221	    1.50113	    0.92321	    1.53411	    1.34234
44.40000	    3.23628	    1.50417	    0.92570	    1.53120	    1.33980
44.60000	    3.23040	    1.50717	    0.92817	    1.52832	    1.33728
