0.00000	    8.33333	    2.33333	    2.66667
19.20000	    4.39058	    0.66155	    0.76539	    1.83412	    2.09614
19.40000	    4.37205	    0.67241	    0.77410	    1.82617	    2.08706
19.60000	    4.35369	    0.68317	    0.78267	    1.81830	    2.07806
19.80000	    4.33549	    0.69384	    0.79111	    1.81050	    2.06914
20.00000	    4.31746	    0.70441	    0.79941	    1.80277	    2.06030
20.20000	    4.29960	    0.71488	    0.80759	    1.79511	    2.05155
20.40000	    4.28190	    0.72526	    0.81563	    1.78752	    2.04288
20.60000	    4.26437	    0.73553	    0.82355	    1.78000	    2.03429
20.80000	    4.24702	    0.74571	    0.83134	    1.77256	    2.02578
21.00000	    4.22983	    0.75578	    0.83901	    1.76519	    2.01736
21.20000	    4.21281	    0.76576	    0.84656	    1.75789	    2.00902
21.40000	    4.19596	    0.77563	    0.85398	    1.75067	    2.00077
21.60000	    4.17928	    0.78541	    0.86129	    1.74352	    1.99259
21.80000	    4.16277	    0.79509	    0.86848	    1.73644	    1.98450
22.00000	    4.14643	    0.80467	    0.87555	    1.72943	    1.97649
22.20000	    4.13025	    0.81414	    0.88251	    1.72249	    1.96857
22.40000	    4.11425	    0.82352	    0.88936	    1.71563	    1.96072
22.60000	    4.09840	    0.83281	    0.89610	    1.70884	    1.95296
22.80000	    4.08273	    0.84199	    0.90273	    1.70212	    1.94528
23.00000	    4.06722	    0.85108	    0.90926	    1.69546	    1.93767
23.20000	    4.05187	    0.86007	    0.91568	    1.68888	    1.93015
23.40000	    4.03668	    0.86896	    0.92200	    1.68237	    1.92271
23.60000	    4.02166	    0.87776	    0.92821	    1.67593	    1.91535
23.80000	    4.00679	    0.88646	    0.93433	    1.66956	    1.90806
24.00000	    3.99209	    0.89507	    0.94035	    1.66325	    1.90086
24.20000	    3.97754	    0.90359	    0.94628	    1.65701	    1.89373
24.40000	    3.96315	    0.91201	    0.95211	    1.65084	    1.88668
24.60000	    3.94891	    0.92034	    0.95785	    1.64474	    1.87970
24.80000	    3.93483	    0.92858	    0.96349	    1.63870	    1.87280
25.00000	    3.92090	    0.93674	    0.96905	    1.63273	    1.86597
25.20000	    3.90712	    0.94480	    0.97452	    1.62682	    1.85922
25.40000	    3.89349	    0.95277	    0.97991	    1.62098	    1.85254
25.60000	    3.88001	    0.96065	    0.98521	    1.61519	    1.84594
25.80000	    3.86668	    0.96845	    0.99042	    1.60948	    1.83940
26.00000	    3.85349	    0.97617	    0.99556	    1.60382	    1.83294
26.20000	    3.84044	    0.98379	    1.00061	    1.59823	    1.82655
26.40000	    3.82753	    0.99134	    1.00559	    1.59269	    1.82022
26.60000	    3.81477	    0.99880	    1.01049	    1.58722	    1.81397
26.80000	    3.80214	    1.00617	    1.01531	    1.58181	    1.80778
27.00000	    3.78965	    1.01347	    1.02006	    1.57645	    1.80166
27.20000	    3.77730	    1.02069	    1.02474	    1.57116	    1.79561
27.40000	    3.76508	    1.02782	    1.02934	    1.56592	    1.78962
27.60000	    3.75300	    1.03488	    1.03387	    1.56074	    1.78370
27.80000	    3.74104	    1.04186	    1.03834	    1.55561	    1.77784
28.00000	    3.72922	    1.04877	    1.04274	    1.55054	    1.77204
28.20000	    3.71752	    1.05559	    1.04707	    1.54552	    1.76631
28.40000	    3.70595	    1.06235	    1.05133	    1.54056	    1.76064
28.60000	    3.69450	    1.06903	    1.05553	    1.53565	    1.75503
28.80000	    3.68318	    1.07563	    1.05967	    1.53080	    1.74949
29.00000	    3.67198	    1.08217	    1.06374	    1.52600	    1.74400
29.20000	    3.66090	    1.08863	    1.06776	    1.52125	    1.73857
29.40000	    3.64993	    1.09502	    1.07171	    1.51655	    1.73320
29.60000	    3.63909	    1.10134	    1.07561	    1.51190	    1.72788
29.80000	    3.62836	    1.10760	    1.07945	    1.50730	    1.72263
30.00000	    3.61775	    1.11378	    1.08323	    1.50275	    1.71743
30.20000	    3.60725	    1.11990	    1.08696	    1.49825	    1.71228
30.40000	    3.59686	    1.12595	    1.09063	    1.49379	    1.70719
30.60000	    3.58658	    1.13194	    1.09425	    1.48938	    1.70215
30.80000	    3.57641	    1.13786	    1.09782	    1.48502	    1.69717
31.00000	    3.56635	    1.14372	    1.10133	    1.48071	    1.69224
31.20000	    3.55639	    1.14952	    1.10480	    1.47644	    1.68736
31.40000	    3.54654	    1.15526	    1.10821	    1.47222	    1.68253
31.60000	    3.53679	    1.16093	    1.11158	    1.46804	    1.67776
31.80000	    3.52714	    1.16654	    1.11489	    1.46390	    1.67303
32.00000	    3.51760	    1.17210	    1.11817	    1.45981	    1.66835
32.20000	    3.50815	    1.17759	    1.12139	    1.45576	    1.66373
